연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
70,2016-06-04,일반행사,콘서트,2016 드림콘서트,한국연예제작자협회,43712 ,102288570 ,7
71,2016-06-06,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,17466 ,45826590 ,1
72,2016-06-15,K리그,K리그 클래식,K리그 클래식(vs광주),GS스포츠,5505 ,34016190 ,1
73,2016-06-18,K리그,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,47899 ,88646260 ,1
74,2016-06-22,기타축구,FA컵,FA컵-16강전 (vs안산경찰청),GS스포츠,3993 ,11932030 ,1
75,2016-06-25,기타축구,일반시민 축구경기,일반시민 축구경기,오 재 상,50 ,897000 ,1
76,2016-06-26,기타축구,일반시민 축구경기,일반시민 축구경기,남 상 범,50 ,897000 ,1
77,2016-06-29,K리그,K리그 클래식,K리그 클래식(vs성남),GS스포츠,7865 ,41603320 ,1
78,2016-07-03,일반행사,프린지 축제(윷놀이),프린지 축제(윷놀이),프 린 지,500 ,0 ,1
79,2016-07-09,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,18372 ,49353270 ,1
80,2016-07-13,기타축구,FA컵,FA컵-8강전 (vs전남),GS스포츠,5322 ,13680650 ,1
81,2016-07-16,기타축구,일반시민 축구경기,일반시민 축구경기,필립스전자,50 ,897000 ,1
82,2016-07-17,기타축구,일반시민 축구경기,일반시민 축구경기,jinguangzh,50 ,897000 ,1
83,2016-07-20,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,18814 ,50784780 ,1
84,2016-07-22,일반행사,프린지 축제(크리미널 런),프린지 축제(크리미널 런),프 린 지,500 ,0 ,2
85,2016-07-31,K리그,K리그 클래식,K리그 클래식(vs포항),GS스포츠,17140 ,48929580 ,1
86,2016-08-13,K리그,K리그 클래식,K리그 클래식(vs수원삼성),GS스포츠,36309 ,68641240 ,1
87,2016-08-20,일반행사,콘서트,빅뱅 10주년 기념 콘서트,YG엔터테인먼트,64816 ,575270560 ,6
88,2016-08-23,기타축구,ACL,ACL 적응훈련(산둥루넝),GS스포츠,50 ,598000 ,1
89,2016-08-24,기타축구,ACL,ACL-8강(vs산둥루넝),GS스포츠,16044 ,38233230 ,1
90,2016-08-28,K리그,K리그 클래식,K리그 클래식(vs전북),GS스포츠,24508 ,57407730 ,1
91,2016-08-31,국가대표,월드컵예선 적응훈련(중국),월드컵예선 적응훈련(중국),대한축구협회,50 ,598000 ,1
92,2016-09-01,국가대표,월드컵예선(vs중국),월드컵예선(vs중국),대한축구협회,46534 ,260632680 ,2
93,2016-09-03,K리그,K리그 클래식,K리그 클래식(vs울산),GS스포츠,13843 ,44235720 ,1
94,2016-09-10,일반행사,프린지 축제(크리미널 런),프린지 축제(크리미널 런),프 린 지,60 ,0 ,1
95,2016-09-11,기타축구,일반시민 축구경기,일반시민 축구경기,조 성 일,50 ,897000 ,1
96,2016-09-18,K리그,K리그 클래식,K리그 클래식(vs제주),GS스포츠,15516 ,44263090 ,1
97,2016-09-23,일반행사,전국금융노조 축제 한마당,전국금융노조 축제 한마당,전국금융산업노동조합,53332 ,88433400 ,3
98,2016-09-24,기타축구,일반시민 축구경기,일반시민 축구경기,윤 무 영,50 ,897000 ,1
99,2016-09-25,일반행사,프린지 축제(즉흥으로놀자),프린지 축제(즉흥으로놀자),프 린 지,500 ,0 ,2
100,2016-10-03,일반행사,어반 애슬런 2016,어반 애슬런 2016,볼 렌 트,1600 ,36917580 ,2
101,2016-10-08,일반행사,청춘 아레나,청춘 아레나,마이크임팩트,9449 ,47704320 ,5
102,2016-10-15,기타축구,2016 서울컵 남자부 결승,2016 서울컵 남자부 결승,"공단, GS스포츠",50 ,0 ,1
103,2016-10-15,K리그,K리그 클래식,스플릿리그 (vs울산),GS스포츠,10482 ,38438370 ,1
104,2016-10-18,기타축구,ACL,ACL 적응훈련(전북),GS스포츠,50 ,460000 ,1
105,2016-10-19,기타축구,ACL,ACL 4강전 (vs전북),GS스포츠,14677 ,36210420 ,1
106,2016-10-22,기타축구,2016 서울컵 여자부 결승,2016 서울컵 여자부 결승,"공단, GS스포츠",50 ,0 ,1
107,2016-10-22,K리그,K리그 클래식,스플릿리그 (vs상주),GS스포츠,11565 ,41455400 ,1
108,2016-10-26,기타축구,FA컵,FA컵 4강전 (vs부천),GS스포츠,5843 ,12934460 ,1
109,2016-11-02,K리그,K리그 클래식,스플릿리그 (vs전남),GS스포츠,5011 ,34624960 ,1
110,2016-11-14,국가대표,월드컵예선 적응훈련(우주백),월드컵예선 적응훈련(우주백),대한축구협회,150 ,1518000 ,3
111,2016-11-15,국가대표,월드컵예선(vs우주백),월드컵예선(vs우주백),대한축구협회,27496 ,133667740 ,1
112,2016-11-20,기타축구,서울시 S리그 결승,서울시 S리그 결승,서울시 체육진흥과,50 ,411580 ,1
113,2016-12-03,기타축구,FA컵,FA컵 결승전 (vs수원),GS스포츠,35037 ,70985880 ,1
114,2017-02-20,기타축구,ACL,ACL 적응훈련(상하이상강),GS스포츠,50 ,598000 ,1
115,2017-02-21,기타축구,ACL,ACL (vs 상하이상강),GS스포츠,17764 ,40406640 ,1
116,2017-03-05,K리그,K리그 클래식,K리그 클래식(vs수원),GS스포츠,34376 ,79174040 ,1
