경기(행사) 일시,구 분,경기(행사) 내용,주 최,관람인원,수입금(원),사용일수(일)
2016-09-18,K리그,K리그 클래식(vs제주),GS스포츠,15516,44263090,1
2016-10-15,K리그,스플릿리그 (vs울산),GS스포츠,10482,38438370,1
2016-10-19,ACL,ACL 4강전 (vs전북),GS스포츠,14677,36210420,1
2016-10-22,K리그,스플릿리그 (vs상주),GS스포츠,11565,41455400,1
2016-10-26,FA컵,FA컵 4강전 (vs부천),GS스포츠,5843,12934460,1
2016-11-02,K리그,스플릿리그 (vs전남),GS스포츠,5011,34624960,1
2016-12-03,FA컵,FA컵 결승전 (vs수원),GS스포츠,35037,70985880,1
2017-02-21,ACL,ACL (vs 상하이상강),GS스포츠,17764,40406640,1
2017-03-05,K리그,K리그 클래식(vs수원),GS스포츠,34376,79174040,1
2017-03-15,ACL,ACL (vs 웨스턴시드니),GS스포츠,4769,24815410,1
2017-03-19,K리그,K리그 클래식(vs광주),GS스포츠,10892,36970700,1
2017-04-08,K리그,K리그 클래식(vs제주),GS스포츠,13175,38079860,1
2017-04-19,FA컵,FA컵-32강전 (vs 안양),GS스포츠,4277,12211850,1
2017-04-22,K리그,K리그 클래식(vs인천),GS스포츠,14596,40827270,1
2017-05-03,K리그,K리그 클래식(vs전남),GS스포츠,26261,50450840,1
2017-05-10,ACL,ACL (vs우라와 ),GS스포츠,4933,26304850,1
2017-05-17,FA컵,FA컵-16강전 (vs부산),GS스포츠,2456,9976980,1
2017-05-20,K리그,K리그 클래식(vs강원),GS스포츠,14560,45898730,1
2017-05-27,K리그,K리그 클래식(vs울산),GS스포츠,16359,42134530,1
2017-06-21,K리그,K리그 클래식(vs대구),GS스포츠,6384,33789660,1
2017-06-25,K리그,K리그 클래식(vs상주),GS스포츠,9757,37307610,1
2017-07-02,K리그,K리그 클래식(vs전북),GS스포츠,17571,56086320,1
2017-07-12,K리그,K리그 클래식(vs포항),GS스포츠,8833,41230490,1
2017-07-23,K리그,K리그 클래식(vs전북),GS스포츠,23913,53603280,1
2017-08-02,K리그,K리그 클래식(vs강원),GS스포츠,11361,40148730,1
2017-08-19,K리그,K리그 클래식(vs울산),GS스포츠,18087,47121090,1
2017-09-09,K리그,K리그 클래식(vs제주),GS스포츠,17161,45338070,1
2017-09-23,K리그,K리그 클래식(vs포항),GS스포츠,16621,61864500,1
2017-10-21,K리그,K-스플릿라운드(vs수원),GS스포츠,27257,53874070,1
2017-10-28,K리그,K-스플릿라운드(vs울산),GS스포츠,11984,37815470,1
2017-11-19,K리그,K-스플릿라운드(vs제주),GS스포츠,10913,39301310,1
2018-03-11,K리그,2018 K리그1 서울vs강원,(주)GS스포츠,16506,42307060,1
2018-04-01,K리그,2018 K리그1 서울vs인천,(주)GS스포츠,12686,40321530,1
2018-04-11,K리그,2018 K리그1 서울vs포항,(주)GS스포츠,5230,30946270,1
2018-04-21,K리그,2018 K리그1 서울vs대구,(주)GS스포츠,8147,34804970,1
2018-04-28,K리그,2018 K리그1 서울vs상주,(주)GS스포츠,8063,34835140,1
2018-05-05,K리그,2018 K리그1 서울vs수원,(주)GS스포츠,37373,71612970,1
2018-05-20,K리그,2018 K리그1 서울vs전북,(주)GS스포츠,23956,55174460,1
2018-07-15,K리그,2018 K리그1 서울vs울산,(주)GS스포츠,12708,42381580,1
2018-07-18,K리그,2018 K리그1 서울vs전남,(주)GS스포츠,6056,36053570,1
2018-07-28,K리그,2018 K리그1 서울vs경남,(주)GS스포츠,9923,39371320,1
2018-08-04,K리그,2018 K리그1 서울vs제주,(주)GS스포츠,9456,38758310,1
2018-08-08,FA컵,2018 FA컵 16강전 서울vs제주,(주)GS스포츠,3809,13351290,1
2018-08-19,K리그,2018 K리그1 서울vs전북,(주)GS스포츠,20471,53100490,1
2018-08-22,K리그,2018 K리그1 서울vs포항,(주)GS스포츠,6995,38131200,1
2018-09-16,K리그,2018 K리그1 서울vs대구,(주)GS스포츠,15602,42600940,1
2018-09-26,K리그,2018 K리그1 서울vs인천,(주)GS스포츠,15092,41887160,1
2018-09-30,K리그,2018 K리그1 서울vs상주,(주)GS스포츠,12943,39249740,1
2018-10-27,K리그,2018 K스플릿라운드 서울vs강원,(주)GS스포츠,7616,35091160,1
2018-11-11,K리그,2018 K스플릿라운드 서울vs전남,(주)GS스포츠,8525,35880530,1
2018-11-24,K리그,2018 K스플릿라운드 서울vs인천,(주)GS스포츠,10816,38832310,1
2018-12-09,K리그,2018 K리그 승강플레이오프 서울vs부산,(주)GS스포츠,9612,57504930,1
2019-03-03,K리그,2019 K리그1 서울vs포항,(주)GS스포츠,15100,46448200,1
2019-03-16,K리그,2019 K리그1 서울vs제주,(주)GS스포츠,17003,42233810,1
2019-03-30,K리그,2019 K리그1 서울vs상주,(주)GS스포츠,12862,39618720,1
2019-04-06,K리그,2019 K리그1 서울vs경남,(주)GS스포츠,13503,39677520,1
2019-04-21,K리그,2019 K리그1 서울vs인천,(주)GS스포츠,19314,47636620,1
2019-05-11,K리그,2019 K리그1 서울vs대구,(주)GS스포츠,26505,58091120,1
2019-05-28,K리그,2019 K리그1 서울vs성남,(주)GS스포츠,13091,41764650,1
2019-06-16,K리그,2019 K리그1 서울vs수원,(주)GS스포츠,35481,64878370,1
2019-06-30,K리그,2019 K리그1 서울vs울산,(주)GS스포츠,19992,50311719,1
2019-07-06,K리그,2019 K리그1 서울vs강원,(주)GS스포츠,17990,49143620,1
2019-07-20,K리그,2019 K리그1 서울vs전북,(주)GS스포츠,32008,69212790,1
2019-08-02,K리그,2019 K리그1 서울vs대구,(주)GS스포츠,18578,48590770,1
2019-08-11,K리그,2019 K리그1 서울vs강원,(주)GS스포츠,15355,47218175,1
2019-09-01,K리그,2019 K리그1 서울vs전북,(주)GS스포츠,28024,62535658,1
2019-09-15,K리그,2019 K리그1 서울vs인천,(주)GS스포츠,15236,44995210,1
2019-09-25,K리그,2019 K리그1 서울vs경남,(주)GS스포츠,8429,39306280,1
2019-09-29,K리그,2019 K리그1 서울vs상주,(주)GS스포츠,13914,60876030,1
2019-11-03,K리그,2019 K리그1 파이널 서울vs울산,(주)GS스포츠,19813,68202520,1
2019-11-23,K리그,2020 K리그1 파이널 서울vs포항,(주)GS스포츠,16783,46329880,1
