연번,경기(행사) 일시,구 분,경기(행사) 종류,경기(행사) 내용,주 최, 관람인원(명) ,수입금(원),사용일수(일)
172,2018-08-19 19:00,K리그,K리그 클래식,2018 K리그1 서울vs전북,(주)GS스포츠,20471,"53,100,490",1
173,2018-08-22 19:00,K리그,K리그 클래식,2018 K리그1 서울vs포항,(주)GS스포츠,6995,"38,131,200",1
174,2018-09-16 16:00,K리그,K리그 클래식,2018 K리그1 서울vs대구,(주)GS스포츠,15602,"42,600,940",1
175,2018-09-26 16:00,K리그,K리그 클래식,2018 K리그1 서울vs인천,(주)GS스포츠,15092,"41,887,160",1
176,2018-09-30 14:00,K리그,K리그 클래식,2018 K리그1 서울vs상주,(주)GS스포츠,12943,"39,249,740",1
177,2018-10-12 20:00,국가대표,대한축구협회,축구국가대표팀 친선경기 대한민국vs우루과이,대한축구협회,64170,"339,712,980",2
178,2018-10-27 16:00,K리그,K리그 클래식,2018 K스플릿라운드 서울vs강원,(주)GS스포츠,7616,"35,091,160",1
179,2018-11-11 14:00,K리그,K리그 클래식,2018 K스플릿라운드 서울vs전남,(주)GS스포츠,8525,"35,880,530",1
180,2018-11-24 14:00,K리그,K리그 클래식,2018 K스플릿라운드 서울vs인천,(주)GS스포츠,10816,"38,832,310",1
181,2018-12-09 14:00,K리그,K리그 클래식,2018 K리그 승강플레이오프 서울vs부산,(주)GS스포츠,9612,"57,504,930",1
182,2019-03-03 14:00,K리그,K리그1,2019 K리그1 서울vs포항,(주)GS스포츠,15100,"46,448,200",1
183,2019-03-16 16:00,K리그,K리그1,2019 K리그1 서울vs제주,(주)GS스포츠,17003,"42,233,810",1
184,2019-03-26 20:00,국가대표,축구국가대표팀 친선경기 대한민국vs콜롬비아,축구국가대표팀 친선경기 대한민국vs콜롬비아,대한축구협회,64412,"359,759,980",2
185,2019-03-30 14:00,K리그,K리그1,2019 K리그1 서울vs상주,(주)GS스포츠,12862,"39,618,720",1
186,2019-04-06 14:00,K리그,K리그1,2019 K리그1 서울vs경남,(주)GS스포츠,13503,"39,677,520",1
187,2019-04-21 16:00,K리그,K리그1,2019 K리그1 서울vs인천,(주)GS스포츠,19314,"47,636,620",1
188,2019-05-11 19:00,K리그,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,26505,"58,091,120",1
189,2019-05-18 18:00,일반행사,콘서트,2019 드림콘서트,한국연예제작자협회,42563,"88,875,350",7
190,2019-05-28 19:00,K리그,K리그1,2019 K리그1 서울vs성남,(주)GS스포츠,13091,"41,764,650",1
191,2019-06-11 20:00,국가대표,축구국가대표팀 친선경기 대한민국vs이란,축구국가대표팀 친선경기 대한민국vs이란,대한축구협회,35481,"316,281,330",2
192,2019-06-16 1:00,국가대표,2019 FIFA U-20 월드컵 결승 거리응원전,2019 FIFA U-20 월드컵 결승 거리응원전,"서울특별시, 대한축구협회",23000,,2
193,2019-06-16 19:00,K리그,K리그1,2019 K리그1 서울vs수원,(주)GS스포츠,35481,"64,878,370",1
194,2019-06-30 19:00,K리그,K리그1,2019 K리그1 서울vs울산,(주)GS스포츠,19992,"50,311,719",1
195,2019-07-06 19:00,K리그,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,17990,"49,143,620",1
196,2019-07-20 19:00,K리그,K리그1,2019 K리그1 서울vs전북,(주)GS스포츠,32008,"69,212,790",1
197,2019-07-26 20:00,일반행사,K리그 올스타vs유벤투스FC,K리그 올스타vs유벤투스FC,"사)한국프로축구연맹, ㈜더페스타",62689,"912,828,350",2
198,2019-08-02 20:00,K리그,K리그1,2019 K리그1 서울vs대구,(주)GS스포츠,18578,"48,590,770",1
199,2019-08-11 20:00,K리그,K리그1,2019 K리그1 서울vs강원,(주)GS스포츠,15355,"47,218,175",1
